Sample2,Sample1,Distance,Group1,Group2,Type
CCY13A,SRR29536163,0.38988209583594463,meat_type,meat_type,meat_type
CCY13A,SRR29536189,0.40288120808093786,meat_type,meat_type,meat_type
CCY13A,CCY27A,0.30140989167362947,meat_type,meat_type,meat_type
CCY13A,CCY9B,0.24441061582527313,meat_type,meat_type,meat_type
CCY13A,SRR28497701,0.3865943941237442,meat_type,meat_type,meat_type
CCY13A,SRR29536176,0.6940509061841242,meat_type,meat_type,meat_type
CCY13A,SRR29536165,0.4118561076507226,meat_type,meat_type,meat_type
CCY13A,CCY24A,0.2156392803867185,meat_type,meat_type,meat_type
CCY13A,SRR29449379,0.3194231307454,meat_type,meat_type,meat_type
CCY13A,CCY41B,0.1558660946470422,meat_type,meat_type,meat_type
CCY13A,SRR28497703,0.24633976531359525,meat_type,meat_type,meat_type
CCY13A,SRR29449361,0.35777115306424473,meat_type,meat_type,meat_type
CCY13A,SRR28497704,0.32426205396852115,meat_type,meat_type,meat_type
CCY13A,CCY49A,0.30788142559874454,meat_type,meat_type,meat_type
CCY13A,SRR29536178,0.785708914387053,meat_type,meat_type,meat_type
CCY13A,CCY42A,0.2157960090584678,meat_type,meat_type,meat_type
CCY13A,SRR29536190,0.37679729622731595,meat_type,meat_type,meat_type
CCY13A,SRR29449362,0.2733152289109733,meat_type,meat_type,meat_type
CCY13A,CCY43A,0.16475902580237717,meat_type,meat_type,meat_type
CCY13A,SRR29449369,0.3064223611787991,meat_type,meat_type,meat_type
CCY13A,CCY25B,0.3582933264676834,meat_type,meat_type,meat_type
CCY13A,SRR29449378,0.3717672093115863,meat_type,meat_type,meat_type
CCY13A,SRR29449364,0.2535593524764734,meat_type,meat_type,meat_type
CCY13A,CCY46B,0.24117103739943316,meat_type,meat_type,meat_type
CCY13A,CCY35B,0.1700813442567912,meat_type,meat_type,meat_type
CCY13A,SRR29536172,0.784680920839817,meat_type,meat_type,meat_type
CCY13A,SRR29536177,0.2971691777267194,meat_type,meat_type,meat_type
CCY13A,CCY36B,0.20368804153238562,meat_type,meat_type,meat_type
CCY13A,CCY17A,0.27117377239329366,meat_type,meat_type,meat_type
CCY13A,CCY48A,0.32793299594681946,meat_type,meat_type,meat_type
CCY13A,SRR29449363,0.3078837395046645,meat_type,meat_type,meat_type
CCY13A,CCY23A,0.29887718325246304,meat_type,meat_type,meat_type
CCY13A,SRR29536168,0.3450392405500777,meat_type,meat_type,meat_type
CCY13A,SRR29536170,0.8840343601909654,meat_type,meat_type,meat_type
CCY17A,CCY9B,0.17580505914030878,meat_type,meat_type,meat_type
CCY17A,CCY6A,0.14758462826261276,meat_type,meat_type,meat_type
CCY17A,SRR29536191,0.3554779923416603,meat_type,meat_type,meat_type
CCY17A,CCY50A,0.35173326389588205,meat_type,meat_type,meat_type
CCY17A,SRR29536171,0.8375016282810466,meat_type,meat_type,meat_type
CCY17A,CCY41B,0.2737094934218377,meat_type,meat_type,meat_type
CCY17A,SRR28497697,0.2747477336165168,meat_type,meat_type,meat_type
CCY17A,CCY26A,0.3512054841598092,meat_type,meat_type,meat_type
CCY17A,CCY44A,0.23061476621584945,meat_type,meat_type,meat_type
CCY17A,SRR29536190,0.3516739171476928,meat_type,meat_type,meat_type
CCY17A,SRR29449378,0.3416272471484934,meat_type,meat_type,meat_type
CCY17A,CCY42A,0.3660180251186909,meat_type,meat_type,meat_type
CCY17A,SRR28497700,0.3362305456315191,meat_type,meat_type,meat_type
CCY17A,SRR29536174,0.7677379375446122,meat_type,meat_type,meat_type
CCY17A,SRR29536172,0.7812711558602091,meat_type,meat_type,meat_type
CCY17A,CCY39A,0.26039763802556676,meat_type,meat_type,meat_type
CCY17A,CCY35B,0.21861335150533845,meat_type,meat_type,meat_type
CCY17A,SRR28497701,0.36231688088713204,meat_type,meat_type,meat_type
CCY17A,SRR28497698,0.27921622610816926,meat_type,meat_type,meat_type
CCY17A,SRR29449364,0.2880741966802445,meat_type,meat_type,meat_type
