Breed,Best_Hit_ARO,Total_Abundance
JRD,tet(O/W/32/O),57.863179375
JRD,tet(Q),30.19425125
JRD,tet(R),0.16247875
JRD,tet(S),0.773309875
JRD,tet(T),0.0036260625
JRD,tet(W),34.48902575
JRD,tet(W/N/W),7.09245175
JRD,tet(X),0.1742143125
JRD,tet(X1),0
JRD,tet(X3),0.0094384375
JRD,tet(X5),0.00847275
JRD,tet(Z),0.0589565625
JRD,tetB(P),22.8968429375
JRD,tmrB,0.024518125
JRD,ugd,0.1044221875
JRD,vanB,0
JRD,vanC,0.0181795625
JRD,vanE,0
JRD,vanF,0.0286526875
JRD,vanG,2.386603125
JRD,vanHA,0.003585375
JRD,vanHB,0.006922375
JRD,vanHD,0.0313481875
JRD,vanHF,0.0337841875
JRD,vanHM,0
JRD,vanHO,0.6998568749999999
JRD,vanHP,0.0018414375
JRD,vanI,0
JRD,vanRB,0
JRD,vanRC,0.0402276875
