Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
SHCC151A,244.698526,433.934258,Duck
SHCC152A,196.325862,382.145536,Duck
SHCC153A,187.207603,334.057715,Duck
SHCC154A,207.843311,419.937455,Duck
SHCC155A,236.299251,429.81941,Duck
SHCC156A,233.008358,432.605532,Duck
SHCC157B,195.459996,372.23253,Duck
SHCC158A,133.02904,290.330047,Duck
SHCC159A,192.99018,353.749404,Duck
SHCC15A,273.097687,553.552669,Duck
SHCC160B,158.15412,334.6818,Duck
SHCC161A,242.354988,445.412299,Duck
SHCC162A,278.264981,504.586292,Duck
SHCC163A,202.480428,445.500346,Duck
SHCC164B,260.913124,472.120632,Duck
SHCC165A,230.14471,452.319089,Duck
SHCC166A,295.271895,623.909947,Duck
SHCC167A,369.628265,679.818432,Duck
SHCC168A,295.20122,507.833958,Duck
SHCC169A,186.886376,359.978828,Duck
SHCC16A,258.989884,409.210441,Duck
SHCC170A,175.229545,351.907127,Duck
SHCC171A,249.514348,488.465988,Duck
SHCC172A,128.924676,280.149282,Duck
SHCC173A,119.157486,259.267668,Duck
SHCC174A,195.896429,364.376865,Duck
SHCC175A,296.620703,516.63844,Duck
SHCC176A,222.177194,452.333741,Duck
SHCC177A,273.107882,468.184754,Duck
SHCC178A,258.904229,423.472034,Duck
SHCC179A,296.161679,541.039854,Duck
SHCC17A,230.188137,403.576298,Duck
SHCC180A,268.339478,507.551389,Duck
SHCC181A,288.79004,576.910978,Duck
SHCC182A,206.149699,407.472968,Duck
SHCC183A,143.882383,293.134343,Duck
SHCC184A,258.750531,508.587839,Duck
SHCC185B,314.801125,625.919536,Duck
SHCC186A,253.275408,464.426354,Duck
SHCC187A,188.281226,420.413805,Duck
SHCC188A,250.073922,451.714499,Duck
SHCC189A,277.095763,460.385269,Duck
SHCC18A,269.283495,452.16924,Duck
SHCC190A,274.776049,497.4927,Duck
SHCC191A,287.46665,502.7078,Duck
SHCC192A,268.036646,490.246945,Duck
SHCC193A,233.738475,441.966128,Duck
SHCC194A,206.567648,392.55543,Duck
SHCC195A,225.524033,422.515248,Duck
SHCC196A,339.995083,704.475022,Duck
SHCC197A,257.772462,495.15302,Duck
SHCC198A,181.662024,341.101087,Duck
SHCC199A,292.222026,527.145426,Duck
SHCC19A,77.248181,206.330203,Duck
SHCC1A,322.290125,527.180651,Duck
SHCC200A,228.377977,431.022271,Duck
SHCC201A,306.269098,532.687202,Duck
SHCC202A,282.851959,501.488789,Duck
SHCC203A,224.603854,477.592301,Duck
SHCC204B,313.827043,561.217504,Duck
SHCC205A,241.558282,503.178372,Duck
SHCC206A,289.082656,528.271523,Duck
SHCC207A,257.831617,463.580479,Duck
SHCC208A,255.207801,466.484882,Duck
SHCC209A,256.074758,460.146515,Duck
SHCC20A,176.56716,357.942584,Duck
SHCC210A,322.264317,566.304337,Duck
SHCC211A,206.329323,354.184498,Duck
SHCC212A,282.802573,518.150956,Duck
SHCC213A,231.217039,451.317607,Duck
SHCC214A,228.802151,431.001792,Duck
SHCC215A,186.949183,392.647553,Duck
SHCC216A,219.995525,399.419268,Duck
SHCC217A,295.77227,536.195437,Duck
SHCC218A,212.683889,465.116375,Duck
SHCC219A,268.06052,496.962379,Duck
SHCC21A,83.935176,244.837168,Duck
SHCC220A,109.785184,274.709826,Duck
SHCC221A,215.934775,457.874062,Duck
SHCC222A,214.070742,397.332022,Duck
SHCC223A,195.56967,408.127822,Duck
SHCC224A,281.393128,526.828139,Duck
SHCC225B,242.988462,421.514264,Duck
SHCC226A,280.108657,460.228078,Duck
SHCC227A,312.110014,498.343096,Duck
SHCC228A,274.54147,512.368393,Duck
SHCC229A,251.323726,471.576096,Duck
SHCC22A,46.606719,110.334202,Duck
SHCC230A,254.84011,452.496948,Duck
SHCC231A,253.358467,428.882743,Duck
SHCC232A,254.225438,472.702449,Duck
SHCC233A,90.233206,228.604119,Duck
SHCC234B,222.108196,395.686498,Duck
SHCC235A,342.58879,527.839096,Duck
SHCC236A,217.763787,466.605069,Duck
SHCC237A,116.502186,243.845668,Duck
SHCC238A,209.666621,436.977843,Duck
SHCC239A,76.616972,233.967474,Duck
SHCC23A,146.694572,298.368798,Duck
SHCC240A,238.147017,467.503528,Duck
SHCC241A,249.067198,437.705436,Duck
SHCC242A,277.413607,481.996998,Duck
SHCC243A,298.87758,539.357485,Duck
SHCC244A,268.734856,521.704553,Duck
SHCC245A,111.669792,272.731709,Duck
SHCC246A,258.077864,477.35268,Duck
SHCC247A,221.076321,462.13091,Duck
SHCC248A,242.809753,485.767514,Duck
SHCC249A,287.910173,473.669105,Duck
SHCC24A,204.70579,410.765094,Duck
SHCC250A,272.727559,434.540177,Duck
SHCC251B,288.337425,545.460025,Duck
SHCC252A,289.351477,510.341778,Duck
SHCC253A,285.600975,461.762716,Duck
SHCC254B,337.125594,683.141571,Duck
SHCC255B,183.803948,420.205446,Duck
SHCC256A,272.908574,471.365427,Duck
SHCC257A,197.144933,363.640957,Duck
SHCC258A,228.951376,391.852713,Duck
SHCC259A,240.704206,460.778009,Duck
SHCC25A,246.128231,463.314479,Duck
SHCC260A,191.245055,370.958723,Duck
SHCC261A,276.044614,468.023639,Duck
SHCC262A,303.438889,491.52292,Duck
SHCC263A,239.614091,482.025338,Duck
SHCC264A,277.656237,529.6213,Duck
SHCC265A,291.713913,436.30938,Duck
SHCC266B,280.127033,518.166278,Duck
SHCC267A,265.513484,537.557966,Duck
SHCC268A,239.348384,410.70114,Duck
SHCC269A,217.586921,388.584424,Duck
SHCC26B,321.270741,659.323644,Duck
SHCC270A,263.357927,487.894572,Duck
SHCC271B,313.6494,549.058312,Duck
SHCC272B,324.38912,573.44758,Duck
SHCC273B,209.227199,440.980794,Duck
SHCC274A,306.013711,549.990097,Duck
SHCC275A,120.875681,262.92579,Duck
SHCC276A,428.313354,643.308386,Duck
SHCC277A,166.890908,345.535776,Duck
SHCC278A,242.177398,463.940354,Duck
SHCC279A,214.40003,411.219895,Duck
SHCC27A,279.345239,486.501719,Duck
SHCC280A,173.033637,338.114749,Duck
SHCC281A,302.725471,487.074978,Duck
SHCC282A,207.592879,442.95935,Duck
SHCC283A,247.108572,445.96618,Duck
SHCC284A,95.228753,239.856867,Duck
SHCC285A,343.168201,556.921682,Duck
SHCC286A,93.703285,201.932272,Duck
SHCC287A,278.852747,576.476725,Duck
SHCC288A,339.471132,594.886639,Duck
SHCC289A,305.367008,544.97765,Duck
SHCC28B,231.988863,419.299672,Duck
SHCC290A,229.603516,422.483577,Duck
