ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
ANT(6)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,NA,35
LnuP,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium perfringens,35
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,aminoglycoside,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,NA,NA,NA,Other,NA,35
baeR,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,NA,35
catB3,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Aeromonadales,f_Aeromonadaceae,g_Aeromonas,g_Aeromonas,s_Aeromonas hydrophila,35
emrA,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,35
tet(O),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Coprococcus,g_Coprococcus,s_Coprococcus comes,35
AAC(6')-Ib8,aminoglycoside,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,34
Erm(49),multidrug,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,34
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,34
LnuP,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium sp. SM-530-WT-3G,34
PmrF,peptide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,34
tet(O),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus pyogenes,34
tet(Q),tetracycline,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides ovatus,34
tet(Q),tetracycline,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,g_Parabacteroides,s_Parabacteroides merdae,34
vanG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Flavonifractor,g_Flavonifractor,s_Flavonifractor sp. AGMB03687,34
APH(3')-IIa,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,33
ErmQ,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium perfringens,33
TEM-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,33
catIII,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,33
msbA,nitroimidazole,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Citrobacter,g_Citrobacter,NA,33
