MGE_subtype,ARG,species,Sample
tnpA,fexA,s__Staphylococcus sp. 11-B-312,SRR29409633
IS26,dfrA14,s__Escherichia coli,SRR29409633
intI1,dfrA14,s__Escherichia coli,SRR29409633
ISCR-orf513,QnrB6,s__Citrobacter portucalensis,SRR29409634
qacEdelta,QnrB6,s__Citrobacter portucalensis,SRR29409634
ISCR-orf513,qacEdelta1,s__Citrobacter portucalensis,SRR29409634
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409634
ISCR-orf513,sul1,s__Citrobacter portucalensis,SRR29409634
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409634
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409634
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409634
tnpA,tet(A),s__unclassified Enterobacterales species,SRR29409634
tnpA,APH(3')-IIIa,s__Enterococcus faecalis,SRR29409634
tnpA,ErmB,s__Enterococcus faecalis,SRR29409634
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409634
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409634
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409634
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409634
IS91,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409634
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409634
IS10,tet(B),s__Escherichia coli,SRR29409634
IS10,tet(R),s__Escherichia coli,SRR29409634
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,SRR29409634
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,SRR29409634
IS91,aadA2,s__unclassified Enterobacterales species,SRR29409634
IS91,dfrA12,s__unclassified Enterobacterales species,SRR29409634
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409635
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409635
IS26,dfrA14,s__unclassified Enterobacteriaceae species,SRR29409635
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,SRR29409635
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,SRR29409635
tnpA,APH(4)-Ia,s__unclassified Bacteria species,SRR29409635
tnpA,APH(4)-Ia,s__unclassified Bacteria species,SRR29409635
qacEdelta,QnrB6,s__Citrobacter portucalensis,SRR29409635
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409635
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409635
intI1,AAC(6')-Ib-cr6,s__Escherichia coli,SRR29409635
intI1,aadA16,s__Escherichia coli,SRR29409635
intI1,arr-3,s__Escherichia coli,SRR29409635
intI1,dfrA27,s__Escherichia coli,SRR29409635
qacEdelta,qacL,s__Escherichia coli,SRR29409635
tnpA,qacL,s__Escherichia coli,SRR29409635
tnpA,qacL,s__Escherichia coli,SRR29409635
qacEdelta,sul3,s__Escherichia coli,SRR29409635
tnpA,sul3,s__Escherichia coli,SRR29409635
tnpA,sul3,s__Escherichia coli,SRR29409635
tnpA,tet(A),s__unclassified Enterobacteriaceae species,SRR29409635
IS10,tet(B),s__Escherichia coli,SRR29409635
tnpA10,tet(B),s__Escherichia coli,SRR29409635
IS10,tet(R),s__Escherichia coli,SRR29409635
tnpA10,tet(R),s__Escherichia coli,SRR29409635
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409635
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409635
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409635
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409635
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409635
IS91,APH(3')-IIa,s__Escherichia coli,SRR29409636
tnpAIS50-A,APH(3')-IIa,s__Escherichia coli,SRR29409636
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,SRR29409636
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,SRR29409636
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409636
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409636
IS10,tet(B),s__Escherichia coli,SRR29409636
tnpA10,tet(B),s__Escherichia coli,SRR29409636
IS10,tet(R),s__Escherichia coli,SRR29409636
tnpA10,tet(R),s__Escherichia coli,SRR29409636
qacEdelta,AAC(6')-Ib-cr6,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,OXA-1,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,aadA16,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,arr-3,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,catB3,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,dfrA27,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,qacEdelta1,s__unclassified Enterobacteriaceae species,SRR29409636
qacEdelta,sul1,s__unclassified Enterobacteriaceae species,SRR29409636
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409636
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409636
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409636
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409636
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409636
IS91,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409636
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409636
IS91,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409636
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409636
IS91,sul2,s__unclassified Enterobacterales species,SRR29409636
tnpA,sul2,s__unclassified Enterobacterales species,SRR29409636
IS91,tet(A),s__unclassified Enterobacterales species,SRR29409636
tnpA,tet(A),s__unclassified Enterobacterales species,SRR29409636
qacEdelta,aadA2,s__Escherichia coli,SRR29409636
tnpA,aadA2,s__Escherichia coli,SRR29409636
qacEdelta,dfrA12,s__Escherichia coli,SRR29409636
tnpA,dfrA12,s__Escherichia coli,SRR29409636
qacEdelta,qacL,s__Escherichia coli,SRR29409636
tnpA,qacL,s__Escherichia coli,SRR29409636
tnpA,qacL,s__Escherichia coli,SRR29409636
qacEdelta,sul3,s__Escherichia coli,SRR29409636
tnpA,sul3,s__Escherichia coli,SRR29409636
tnpA,sul3,s__Escherichia coli,SRR29409636
tnpA,CTX-M-55,s__Escherichia coli,SRR29409636
tnpA,CTX-M-55,s__Escherichia coli,SRR29409636
tnpA,CTX-M-55,s__Escherichia coli,SRR29409636
tnpA,CTX-M-55,s__Escherichia coli,SRR29409636
tnpA,TEM-1,s__Escherichia coli,SRR29409636
tnpA,TEM-1,s__Escherichia coli,SRR29409636
tnpA,TEM-1,s__Escherichia coli,SRR29409636
tnpA,TEM-1,s__Escherichia coli,SRR29409636
IS10,tet(B),s__Escherichia coli,SRR29409637
tnpA10,tet(B),s__Escherichia coli,SRR29409637
IS10,tet(R),s__Escherichia coli,SRR29409637
tnpA10,tet(R),s__Escherichia coli,SRR29409637
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409637
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409637
tnpA,QnrS1,s__unclassified Gammaproteobacteria species,SRR29409637
tnpA,sul3,s__Escherichia coli,SRR29409637
tnpA,sul3,s__Escherichia coli,SRR29409637
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409637
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409637
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409637
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409637
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409637
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409637
Tn916,tet(45),s__Enterococcus faecalis,SRR29409638
Tn916,tet(45),s__Enterococcus faecalis,SRR29409638
Tn916,tet(45),s__Enterococcus faecalis,SRR29409638
Tn916,tet(M),s__Enterococcus faecalis,SRR29409638
Tn916,tet(M),s__Enterococcus faecalis,SRR29409638
Tn916,tet(M),s__Enterococcus faecalis,SRR29409638
Tn916,tet(M),s__Enterococcus faecalis,SRR29409638
tnpA,APH(3'')-Ib,s__Enterobacter hormaechei,SRR29409638
tnpA,APH(3'')-Ib,s__Enterobacter hormaechei,SRR29409638
tnpA,APH(6)-Id,s__Enterobacter hormaechei,SRR29409638
tnpA,APH(6)-Id,s__Enterobacter hormaechei,SRR29409638
tnpA,sul2,s__Enterobacter hormaechei,SRR29409638
tnpA,tet(A),s__Enterobacter hormaechei,SRR29409638
tnpA,tet(A),s__Enterobacter hormaechei,SRR29409638
IS26,dfrA14,s__unclassified Enterobacteriaceae species,SRR29409638
IncU,linG,s__Klebsiella pneumoniae,SRR29409638
intI1,linG,s__Klebsiella pneumoniae,SRR29409638
tnpA,linG,s__Klebsiella pneumoniae,SRR29409638
tnpA-1,linG,s__Klebsiella pneumoniae,SRR29409638
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409638
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409638
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409638
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409638
tnpA,QnrS1,s__Escherichia coli,SRR29409638
tnpA,QnrS1,s__Escherichia coli,SRR29409638
tnpA,QnrS1,s__Escherichia coli,SRR29409638
tnpA,TEM-1,s__Escherichia coli,SRR29409638
tnpA,TEM-1,s__Escherichia coli,SRR29409638
tnpA,TEM-1,s__Escherichia coli,SRR29409638
tnpA,TEM-1,s__Escherichia coli,SRR29409638
tnpA,TEM-1,s__Escherichia coli,SRR29409638
tnpA,sul3,s__Escherichia coli,SRR29409638
tnpA,sul3,s__Escherichia coli,SRR29409638
tnpA,sul3,s__Escherichia coli,SRR29409638
tnpA,sul3,s__Escherichia coli,SRR29409638
IS91,APH(3')-IIa,s__Escherichia coli,SRR29409638
IncX1,APH(3')-IIa,s__Escherichia coli,SRR29409638
tnpAIS50-A,APH(3')-IIa,s__Escherichia coli,SRR29409638
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409638
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409638
tnpA,MCR-1.1,s__Klebsiella pneumoniae,SRR29409638
IS26,dfrA14,s__unclassified Enterobacteriaceae species,SRR29409639
qacEdelta,qacEdelta1,s__unclassified Bacteria species,SRR29409639
qacEdelta,sul1,s__unclassified Bacteria species,SRR29409639
tnpA,TEM-1,s__Escherichia coli,SRR29409639
tnpA,TEM-1,s__Escherichia coli,SRR29409639
tnpA,TEM-1,s__Escherichia coli,SRR29409639
tnpA,TEM-1,s__Escherichia coli,SRR29409639
tnpA,TEM-1,s__Escherichia coli,SRR29409639
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409639
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409639
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409639
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409639
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,SRR29409639
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,SRR29409639
tnpA,APH(4)-Ia,s__unclassified Bacteria species,SRR29409639
tnpA,APH(4)-Ia,s__unclassified Bacteria species,SRR29409639
IS10,tet(B),s__Escherichia coli,SRR29409639
IS10,tet(R),s__Escherichia coli,SRR29409639
qacEdelta,qacL,s__Escherichia coli,SRR29409639
tnpA,qacL,s__Escherichia coli,SRR29409639
tnpA,qacL,s__Escherichia coli,SRR29409639
qacEdelta,sul3,s__Escherichia coli,SRR29409639
tnpA,sul3,s__Escherichia coli,SRR29409639
tnpA,sul3,s__Escherichia coli,SRR29409639
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409639
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409639
tnpA,sul2,s__unclassified Enterobacterales species,SRR29409639
tnpA,tet(A),s__unclassified Enterobacterales species,SRR29409639
intI1,dfrA1,s__Escherichia coli,SRR29409639
qacEdelta,dfrA1,s__Escherichia coli,SRR29409639
rep22,tet(45),s__Staphylococcus aureus,SRR29409640
repUS12,tet(45),s__Staphylococcus aureus,SRR29409640
Tn916,tet(M),s__Enterococcus faecalis,SRR29409641
rep22,FosBx1,s__Listeria innocua,SRR29409641
repUS12,FosBx1,s__Listeria innocua,SRR29409642
rep22,FosBx1,s__Listeria innocua,SRR29409643
repUS12,FosBx1,s__Listeria innocua,SRR29409643
rep22,ErmT,s__Staphylococcus epidermidis,SRR29409643
repUS12,tet(45),s__Staphylococcus aureus,SRR29409645
repUS12,tet(45),s__Staphylococcus aureus,SRR29409646
IS91,qacEdelta1,s__unclassified Gammaproteobacteria species,SRR29409647
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,SRR29409647
IS91,sul1,s__unclassified Gammaproteobacteria species,SRR29409647
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,SRR29409647
intI1,AAC(6')-Ib-cr6,s__Escherichia coli,SRR29409647
intI1,arr-3,s__Escherichia coli,SRR29409647
tnpA,nimJ,s__Bacteroides fragilis,SRR29409647
tnpA,APH(3')-Ia,s__unclassified Pseudomonadota species,SRR29409647
IS91,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409647
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409647
IS91,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409647
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409647
IS91,tet(A),s__unclassified Enterobacterales species,SRR29409647
tnpA,tet(A),s__unclassified Enterobacterales species,SRR29409647
tnpA,TEM-1,s__unclassified Enterobacterales species,SRR29409647
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409647
Tn916,tet(M),s__Enterococcus avium,SRR29409647
Tn916,tet(M),s__Enterococcus avium,SRR29409647
Tn916,tet(M),s__Enterococcus avium,SRR29409647
Tn916,tet(M),s__Enterococcus avium,SRR29409647
Tn916,tet(M),s__Enterococcus avium,SRR29409647
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409648
Tn916,tet(M),s__unclassified Streptococcus species,SRR29409648
Tn916,tet(M),s__unclassified Streptococcus species,SRR29409648
Tn916,tet(M),s__unclassified Streptococcus species,SRR29409648
Tn916,tet(M),s__unclassified Streptococcus species,SRR29409648
Tn916,tet(M),s__unclassified Streptococcus species,SRR29409648
Tn916,tet(M),s__Enterococcus faecalis,SRR29409648
Tn916,tet(M),s__Enterococcus faecalis,SRR29409648
Tn916,tet(M),s__Enterococcus faecalis,SRR29409648
Tn916,tet(M),s__Enterococcus faecalis,SRR29409648
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409649
IS10,tet(B),s__Escherichia coli,SRR29409650
tnpA10,tet(B),s__Escherichia coli,SRR29409650
IS10,tet(R),s__Escherichia coli,SRR29409650
tnpA10,tet(R),s__Escherichia coli,SRR29409650
tnpA,QnrS1,s__unclassified Enterobacterales species,SRR29409650
tnpA,QnrS1,s__unclassified Enterobacterales species,SRR29409650
tnpA,QnrS1,s__unclassified Enterobacterales species,SRR29409650
tnpA,QnrS1,s__unclassified Enterobacterales species,SRR29409650
qacEdelta,AAC(6')-Ib-cr6,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,OXA-1,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,aadA16,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,arr-3,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,catB3,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,dfrA27,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,qacEdelta1,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,sul1,s__unclassified Enterobacteriaceae species,SRR29409650
qacEdelta,qacL,s__Escherichia coli,SRR29409650
tnpA,qacL,s__Escherichia coli,SRR29409650
tnpA,qacL,s__Escherichia coli,SRR29409650
qacEdelta,sul3,s__Escherichia coli,SRR29409650
tnpA,sul3,s__Escherichia coli,SRR29409650
tnpA,sul3,s__Escherichia coli,SRR29409650
IS91,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409650
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409650
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,SRR29409650
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,SRR29409650
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409650
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,SRR29409650
tnpA,tet(A),s__unclassified Gammaproteobacteria species,SRR29409650
tnpA,CTX-M-55,s__Escherichia coli,SRR29409650
tnpA,CTX-M-55,s__Escherichia coli,SRR29409650
tnpA,TEM-1,s__Escherichia coli,SRR29409650
tnpA,TEM-1,s__Escherichia coli,SRR29409650
tnpA,TEM-1,s__Escherichia coli,SRR29409650
Tn916,tet(M),s__Clostridioides difficile,SRR29409651
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409651
Tn916,tet(M),s__Enterococcus faecalis,SRR29409652
Tn916,tet(M),s__Enterococcus faecalis,SRR29409652
Tn916,tet(M),s__Enterococcus faecalis,SRR29409652
Tn916,tet(M),s__Enterococcus faecalis,SRR29409652
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409652
Tn916,tet(M),s__Streptococcus pneumoniae,SRR29409652
Tn916,tet(M),s__Streptococcus pneumoniae,SRR29409652
Tn916,tet(M),s__Streptococcus pneumoniae,SRR29409652
Tn916,tet(M),s__Streptococcus pneumoniae,SRR29409652
Tn916,tet(M),s__Streptococcus pneumoniae,SRR29409652
qacEdelta,aadA16,s__unclassified Bacteria species,SRR29409653
qacEdelta,dfrA27,s__unclassified Bacteria species,SRR29409653
qacEdelta,qacEdelta1,s__unclassified Bacteria species,SRR29409653
qacEdelta,sul1,s__unclassified Bacteria species,SRR29409653
IS91,tet(A),s__unclassified Pseudomonadota species,SRR29409653
tnpA,tet(A),s__unclassified Pseudomonadota species,SRR29409653
tnpA,tet(A),s__unclassified Pseudomonadota species,SRR29409653
intI1,APH(3')-Ia,s__Salmonella enterica,SRR29409653
tnpA,APH(3')-Ia,s__Salmonella enterica,SRR29409653
Tn916,tet(M),s__Enterococcus faecium,SRR29409653
Tn916,tet(M),s__Enterococcus faecium,SRR29409653
Tn916,tet(M),s__Enterococcus faecium,SRR29409653
tnpA,nimJ,s__Bacteroides fragilis,SRR29409653
Tn916,tet(M),s__Enterococcus faecalis,SRR29409653
Tn916,tet(M),s__Enterococcus faecalis,SRR29409653
Tn916,tet(M),s__Enterococcus faecalis,SRR29409653
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409653
tnpA,ANT(6)-Ia,s__unclassified Bacilli species,SRR29409653
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409654
tnpA,tet(Q),s__Phocaeicola vulgatus,SRR29409654
tnpA,lnuC,s__Eubacterium maltosivorans,SRR29409655
IS91,sul2,s__Bacteroides xylanisolvens,SRR29409655
tnpA,bacA,s__unclassified Escherichia species,SRR29409656
IS91,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409656
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409656
IS91,aadA2,s__unclassified Enterobacterales species,SRR29409656
IS91,dfrA12,s__unclassified Enterobacterales species,SRR29409656
intI1,AAC(6')-Ib-cr6,s__Escherichia coli,SRR29409656
intI1,aadA16,s__Escherichia coli,SRR29409656
intI1,arr-3,s__Escherichia coli,SRR29409656
intI1,dfrA27,s__Escherichia coli,SRR29409656
ISCR-orf513,QnrB6,s__Citrobacter portucalensis,SRR29409656
qacEdelta,QnrB6,s__Citrobacter portucalensis,SRR29409656
ISCR-orf513,qacEdelta1,s__Citrobacter portucalensis,SRR29409656
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409656
ISCR-orf513,sul1,s__Citrobacter portucalensis,SRR29409656
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409656
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409656
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409656
tnpA,APH(3')-IIIa,s__Enterococcus faecalis,SRR29409656
tnpA,ErmB,s__Enterococcus faecalis,SRR29409656
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409656
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409656
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409656
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409656
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,SRR29409656
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,SRR29409656
IS10,tet(B),s__Escherichia coli,SRR29409656
IS10,tet(R),s__Escherichia coli,SRR29409656
intI1,dfrA14,s__Escherichia coli,SRR29409657
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409657
tnpA,mphA,s__unclassified Enterobacteriaceae species,SRR29409657
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,SRR29409657
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,SRR29409657
qacEdelta,qacEdelta1,s__Citrobacter portucalensis,SRR29409657
qacEdelta,sul1,s__Citrobacter portucalensis,SRR29409657
tnpA10,tet(B),s__Escherichia coli,SRR29409657
tnpA10,tet(B),s__Escherichia coli,SRR29409657
tnpA10,tet(R),s__Escherichia coli,SRR29409657
tnpA10,tet(R),s__Escherichia coli,SRR29409657
tnpA,lnuG,s__Enterococcus faecium,SRR29409657
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409657
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409657
rep7,catA8,s__Enterococcus faecium,SRR29409657
tnpA,fexA,s__Enterococcus faecium,SRR29409657
IS91,AAC(6')-Ib-cr6,s__unclassified Enterobacteriaceae species,SRR29409657
IS91,OXA-1,s__unclassified Enterobacteriaceae species,SRR29409657
IS91,aadA16,s__unclassified Enterobacteriaceae species,SRR29409657
IS91,arr-3,s__unclassified Enterobacteriaceae species,SRR29409657
IS91,catB3,s__unclassified Enterobacteriaceae species,SRR29409657
IS91,dfrA27,s__unclassified Enterobacteriaceae species,SRR29409657
tnpA,AAC(3)-IVa,s__Acinetobacter baumannii,SRR29409657
tnpA,AAC(3)-IVa,s__Acinetobacter baumannii,SRR29409657
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409657
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409657
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409657
tnpA,sul2,s__Acinetobacter baumannii,SRR29409657
tnpA,sul2,s__Acinetobacter baumannii,SRR29409657
tnpA,sul2,s__Acinetobacter baumannii,SRR29409657
Tn916,tet(M),s__Enterococcus faecium,SRR29409657
Tn916,tet(M),s__Enterococcus faecium,SRR29409657
tnpA,tet(A),s__unclassified Bacteria species,SRR29409657
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409657
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409657
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409657
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409657
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409657
tnpA,AAC(3)-IVa,s__Acinetobacter baumannii,SRR29409658
tnpA,AAC(3)-IVa,s__Acinetobacter baumannii,SRR29409658
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409658
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409658
tnpA,APH(4)-Ia,s__Acinetobacter baumannii,SRR29409658
tnpA,sul2,s__Acinetobacter baumannii,SRR29409658
tnpA,sul2,s__Acinetobacter baumannii,SRR29409658
tnpA,sul2,s__Acinetobacter baumannii,SRR29409658
IS26,dfrA14,s__unclassified Enterobacteriaceae species,SRR29409658
repUS12,tet(45),s__Staphylococcus aureus,SRR29409658
intI1,dfrA17,s__Escherichia coli,SRR29409658
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,SRR29409658
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,SRR29409658
tnpA,tet(A),s__unclassified Enterobacterales species,SRR29409658
tnpA,APH(3')-IIIa,s__Enterococcus faecalis,SRR29409658
tnpA,ErmB,s__Enterococcus faecalis,SRR29409658
ISCR-orf513,dfrA10,s__unclassified Gammaproteobacteria species,SRR29409658
qacEdelta,dfrA10,s__unclassified Gammaproteobacteria species,SRR29409658
ISCR-orf513,qacEdelta1,s__unclassified Gammaproteobacteria species,SRR29409658
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,SRR29409658
ISCR-orf513,sul1,s__unclassified Gammaproteobacteria species,SRR29409658
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,SRR29409658
IS91,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409658
tnpAIS50-A,APH(3')-IIa,s__unclassified Enterobacteriaceae species,SRR29409658
rep7,catA8,s__Enterococcus faecium,SRR29409658
tnpA,aadA2,s__unclassified Gammaproteobacteria species,SRR29409658
tnpA,dfrA12,s__unclassified Gammaproteobacteria species,SRR29409658
IS10,tet(B),s__Escherichia coli,SRR29409658
tnpA10,tet(B),s__Escherichia coli,SRR29409658
IS10,tet(R),s__Escherichia coli,SRR29409658
tnpA10,tet(R),s__Escherichia coli,SRR29409658
qacEdelta,AAC(6')-Ib-cr6,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,AAC(6')-Ib-cr6,s__unclassified Enterobacteriaceae species,SRR29409658
qacEdelta,OXA-1,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,OXA-1,s__unclassified Enterobacteriaceae species,SRR29409658
qacEdelta,aadA16,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,aadA16,s__unclassified Enterobacteriaceae species,SRR29409658
qacEdelta,arr-3,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,arr-3,s__unclassified Enterobacteriaceae species,SRR29409658
qacEdelta,catB3,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,catB3,s__unclassified Enterobacteriaceae species,SRR29409658
qacEdelta,dfrA27,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,dfrA27,s__unclassified Enterobacteriaceae species,SRR29409658
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409658
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409658
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409658
tnpA,QnrS1,s__Klebsiella pneumoniae,SRR29409658
tnpA,Mrx,s__unclassified Enterobacteriaceae species,SRR29409658
