traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-N-0976	0.0958480822887602	0.0251440221204282	0.0307081535210653	0.108387600823876	0.0633225579648943
LIPID-N-0959	0.0176376684851261	0.073417185299767	0.0974843871031727	0.0772030303438401	0.0694061725677255
LIPID-N-0960	-0.063896871	-0.109530498	0.0766782824831351	-0.02407432	-0.084331195
LIPID-N-0964	0.0244501820773007	0.0302722634351145	0.0693161935899989	0.0596621727327885	0.0211490063104114
LIPID-N-0958	-0.03773419	-0.083696804	-0.022733753	-0.026958494	-0.004135754
LIPID-N-0968	0.0683726870167548	0.034702503123598	-0.033859962	0.0682058240357891	0.0448157737481752
LIPID-N-0970	0.0608781354544066	0.096886882670832	0.0276123458510969	0.0738203624486657	0.0581766116949406
LIPID-N-0972	0.0557161167330659	-0.041830125	-0.039748893	0.0562125603041822	0.0821999176904153
LIPID-N-0965	0.0171698663224087	0.0845546723018871	0.0130348822270879	0.0399371628527785	0.00981323250770485
LIPID-N-0618	-0.025878635	-0.055267082	-0.14503544	-0.073071305	-0.095603002
LIPID-P-0380	-0.028322159	0.000870130631802528	-0.003722004	0.0153224223284326	-0.025439634
LIPID-P-0373	-0.030086849	-0.029872534	-0.011290732	-0.001475892	-0.049750757
LIPID-P-0374	-0.04020785	-0.019562785	-0.003942307	-0.003670136	-0.0512709
LIPID-P-0375	-0.055483591	-0.016932639	0.0156735315021436	0.0057117963233262	-0.004170135
LIPID-P-0376	-0.063954787	-0.080600026	-0.048235902	-0.050688042	-0.100662121
LIPID-P-0381	-0.032470375	0.000465488654928659	0.00283894218083217	0.00802917445610732	-0.028395348
LIPID-P-0390	-0.018852288	-0.019028353	-0.04217685	0.0100541886819249	-0.018614869
LIPID-P-0383	-0.001151228	-0.006309777	-0.041148926	0.0158839224981171	-0.018542812
LIPID-P-0386	-0.01816331	-0.024639434	-0.069214373	-0.013672205	-0.018693476
LIPID-P-0387	-0.030760653	-0.009193632	-0.059531238	-0.006387296	-0.042091669
LIPID-P-0388	-0.038584656	-0.014000289	-0.058893471	-0.010072025	-0.04253243
LIPID-P-0389	0.00231078536163282	-0.005579617	-0.078348602	0.00870302098812556	0.00539252871078522
LIPID-P-0372	-0.006030832	0.0359332826868666	-0.021986279	0.0509319782596769	0.0210434518924482
LIPID-P-0382	-0.046291592	-0.050421305	-0.023040603	-0.003998141	-0.05053396
LIPID-P-0371	-0.028084787	-0.020839872	-0.017423348	-0.000768356	-0.044818581
LIPID-P-0360	-0.022622468	-0.024361344	0.00622123586481025	0.0189955692717854	-0.025494846
LIPID-P-0369	0.0354922546205839	0.0638612917840661	0.00959962324078301	0.0689518127916613	0.0277122146880624
LIPID-P-0391	-0.013388581	-0.017571965	-0.044999131	0.0114590973160572	-0.015328351
LIPID-P-0350	-0.006197106	-0.036306727	-0.025674053	0.054629055700237	0.0374299979824706
LIPID-P-0351	0.051202357982019	-0.0156723	-0.039566079	0.0792002475315545	0.0695797628628839
LIPID-P-0352	0.0485635095804587	0.00883248527793808	-0.017312734	0.0737545761251548	0.0786677528975547
LIPID-P-0353	0.0159182294775515	-0.033445082	-0.014534884	0.0534138618511591	0.0432614153640339
LIPID-P-0354	0.0146897282490503	-0.03420046	-0.018769694	0.0520983670229254	0.038154772557135
LIPID-P-0355	-0.014455596	0.0022314304556595	-0.008037344	0.0387506926097405	0.0118757285213397
LIPID-P-0356	-0.002409343	-0.003992976	-0.015370738	0.03014241319315	0.00800761269903499
LIPID-P-0357	-0.044769268	-0.057160249	-0.027961775	-0.011299264	-0.037970888
LIPID-P-0358	-0.042887417	-0.054348808	-0.025541223	-0.010876981	-0.036690251
LIPID-P-0359	0.0145088077291467	-0.011065767	-0.007850828	0.0646396956891336	0.028874008394148
LIPID-P-0361	-0.025929473	-0.033356936	0.0224343078466707	0.000402825410512107	-0.049437206
LIPID-P-0362	-0.018097142	-0.024152429	0.0257564348394997	0.00620036099090141	-0.044780681
LIPID-P-0363	-0.054388056	-0.033568661	-0.02274203	-0.033184143	-0.032557744
LIPID-P-0368	-0.040820944	-0.015475878	0.00477075578741735	0.00343965182328595	-0.039182277
LIPID-P-0370	-0.029251748	-0.019658798	-0.019215853	0.000129256227179848	-0.044161652
LIPID-P-0392	0.000843987284665251	0.0176427603616052	0.00129126975619853	0.0265320412275136	0.0135596947538877
LIPID-P-0384	-0.026936798	-0.031904944	-0.091858339	-0.003119059	-0.04769522
LIPID-P-1934	0.0206041172142867	-0.010100086	0.00780038009712185	0.0018841758994281	0.0131830365662797
LIPID-P-0395	-0.049751755	-0.056413431	0.0142289596360457	-0.011807487	-0.05494203
