SampleID,V1,V2,V3,breed,application,shape_id
SHCC210A,-0.048771624,-0.065913051,-0.030074599,SRD,dual_type,SRD-JiAn
SHCC211A,0.13680539887547163,0.0352542894516013,0.009198332995790823,SRD,dual_type,SRD-JiAn
SHCC212A,-0.008582833,-0.071075444,-0.004257817,SRD,dual_type,SRD-JiAn
SHCC213A,0.060169746376102465,0.00679732035013104,0.023223070551001302,SRD,dual_type,SRD-JiAn
SHCC214A,0.07243235369779863,-0.008169487,0.00901917299359514,SRD,dual_type,SRD-JiAn
SHCC215A,0.13914510409710384,0.03763366953889653,0.03901685667862399,SRD,dual_type,SRD-JiAn
SHCC216A,0.09338723227254477,-0.066987735,-0.011680847,SRD,dual_type,SRD-JiAn
SHCC217A,-0.038885094,-0.037934194,-0.040735312,SRD,dual_type,SRD-JiAn
SHCC218A,0.0394135689649984,0.04504807425922937,0.05873608705085992,SRD,dual_type,SRD-JiAn
SHCC219A,0.002770948358693967,-0.043693158,0.047629982458912416,SRD,dual_type,SRD-JiAn
SHCC21A,0.20405270589414892,0.30846054581154597,0.04488646861627145,SRD,dual_type,SRD-JiAn
SHCC220A,0.21923892711582807,0.16417512882720617,0.09263043738987434,SRD,dual_type,SRD-JiAn
SHCC221A,0.05493554241424137,-0.018400704,0.06236606680434137,SRD,dual_type,SRD-JiAn
SHCC222A,0.1023798215475852,-0.046589572,-0.008451341,SRD,dual_type,SRD-JiAn
SHCC223A,0.09848652835347949,0.025569725602381316,0.07395912993131996,SRD,dual_type,SRD-JiAn
SHCC224A,-0.01061154,-0.080541677,0.04663654238259625,SRD,dual_type,SRD-JiAn
SHCC225B,0.08153313394952595,-0.065069463,-0.034321873,SRD,dual_type,SRD-JiAn
SHCC226A,0.04046835364210229,-0.083010752,-0.112733771,SRD,dual_type,SRD-JiAn
SHCC227A,0.02201527772254789,-0.104980732,-0.157416243,SRD,dual_type,SRD-JiAn
SHCC228A,-0.001076122,-0.080411196,-0.008129465,SRD,dual_type,SRD-JiAn
SHCC229A,0.03864069549434955,-0.042862107,0.01114216097563456,SRD,dual_type,SRD-JiAn
SHCC22A,0.28301213406674747,0.40770947262624024,-0.07208938,SRD,dual_type,SRD-JiAn
SHCC230A,0.05242920305352352,-0.093130465,-0.051244507,SRD,dual_type,SRD-JiAn
SHCC231A,0.07638782222422494,-0.087292165,-0.112466493,SRD,dual_type,SRD-JiAn
SHCC232A,0.030590980180203568,-0.059112178,0.01297887029351455,SRD,dual_type,SRD-JiAn
SHCC233A,0.2604545106170076,0.22949391191868082,0.07287736927903357,SRD,dual_type,SRD-JiAn
SHCC234B,0.09226230908743904,-0.059655287,-0.006701258,SRD,dual_type,SRD-JiAn
SHCC235A,-0.009500782,-0.119243932,-0.188391983,SRD,dual_type,SRD-JiAn
SHCC236A,0.046928917830069805,0.01717365069702508,0.030753099091245826,SRD,dual_type,SRD-JiAn
SHCC237A,0.24959763219948303,0.1489629426489061,0.07675288604980265,SRD,dual_type,SRD-JiAn
SHCC238A,0.06444959204855956,0.011974008121709998,0.05073569598738704,SRD,dual_type,SRD-JiAn
SHCC239A,0.24215819053196372,0.257943645447231,0.09620910550403923,SRD,dual_type,SRD-JiAn
SHCC23A,0.19266473601352296,0.0732183900866136,0.07824763117256466,SRD,dual_type,SRD-JiAn
SHCC240A,0.030846700946815797,-0.037875821,-0.016538232,SRD,dual_type,SRD-JiAn
SHCC241A,0.05663716380820617,-0.059154045,-0.090756744,SRD,dual_type,SRD-JiAn
SHCC242A,0.007691263109940368,-0.092449157,-0.022630805,SRD,dual_type,SRD-JiAn
SHCC243A,-0.005374504,-0.112719488,-0.059023773,SRD,dual_type,SRD-JiAn
SHCC244A,-0.01217276,-0.067297546,0.03798092420860271,SRD,dual_type,SRD-JiAn
SHCC245A,0.2062379226121992,0.247360357193877,0.01993607960167878,SRD,dual_type,SRD-JiAn
SHCC246A,0.03507151581272147,-0.089745935,-0.013596435,SRD,dual_type,SRD-JiAn
SHCC247A,0.06781979309324344,-0.02935739,0.05583666189852126,SRD,dual_type,SRD-JiAn
SHCC248A,0.02442172041863117,-0.042738868,0.05499908453559783,SRD,dual_type,SRD-JiAn
SHCC249A,0.04054831101391749,-0.110775598,-0.139984739,SRD,dual_type,SRD-JiAn
SHCC24A,0.09117862326651634,-0.005092858,0.04542417322082493,SRD,dual_type,SRD-JiAn
SHCC250A,0.05189982934390229,-0.100929882,-0.010193805,SRD,dual_type,SRD-JiAn
SHCC251B,-0.035910039,-0.065741697,0.02141159595513476,SRD,dual_type,SRD-JiAn
SHCC252A,-0.003185701,-0.119464842,-0.030844103,SRD,dual_type,SRD-JiAn
SHCC253A,0.04183396928827137,-0.114838891,-0.117516813,SRD,dual_type,SRD-JiAn
SHCC254B,-0.11287048,-0.061651718,0.061071778919421546,SRD,dual_type,SRD-JiAn
SHCC255B,0.08138063336076705,0.027066641481587477,0.0806336528637533,SRD,dual_type,SRD-JiAn
SHCC256A,0.029044219092543413,-0.095665599,-0.002203682,SRD,dual_type,SRD-JiAn
SHCC257A,0.12412911196924321,-0.024055117,0.04576547638293872,SRD,dual_type,SRD-JiAn
