Sample,total_abundance,gut_locations
SHCC37A,228.199711,large_intestine
SHCC38A,481.971795,large_intestine
SHCC39A,520.569601,large_intestine
SHCC3A,455.074566,large_intestine
SHCC40A,146.838576,large_intestine
SHCC41A,514.464806,large_intestine
SHCC42A,508.487104,large_intestine
SHCC43A,452.111314,large_intestine
SHCC44A,630.34036,large_intestine
SHCC45A,562.944023,large_intestine
SHCC46B,552.112013,large_intestine
SHCC47A,530.579286,large_intestine
SHCC48A,316.028841,large_intestine
SHCC49A,433.464879,large_intestine
SHCC4A,566.196568,large_intestine
SHCC50A,479.145635,large_intestine
SHCC51A,551.288311,large_intestine
SHCC52A,390.774427,large_intestine
SHCC53A,441.800649,large_intestine
SHCC54A,524.000411,large_intestine
SHCC55A,395.724591,large_intestine
SHCC56A,449.71556,large_intestine
SHCC57B,783.564909,large_intestine
SHCC58A,419.444033,large_intestine
SHCC59A,414.510596,large_intestine
SHCC5A,544.996607,large_intestine
SHCC60A,370.722838,large_intestine
SHCC61A,391.987388,large_intestine
SHCC62A,287.775421,large_intestine
SHCC63A,385.807257,large_intestine
SHCC64A,368.212075,large_intestine
SHCC65A,596.57056,large_intestine
SHCC66A,491.519617,large_intestine
SHCC67A,440.22632,large_intestine
SHCC68A,374.022812,large_intestine
SHCC69B,539.660941,large_intestine
SHCC6A,411.822912,large_intestine
SHCC70A,414.936551,large_intestine
SHCC71A,472.855946,large_intestine
SHCC72A,285.537057,large_intestine
SHCC73A,572.234306,large_intestine
SHCC74A,520.029924,large_intestine
SHCC75A,522.780965,large_intestine
SHCC76A,557.045633,large_intestine
SHCC77B,490.697652,large_intestine
SHCC78A,518.881247,large_intestine
SHCC79A,390.380717,large_intestine
SHCC7A,547.767084,large_intestine
SHCC80A,424.291734,large_intestine
SHCC81A,519.826921,large_intestine
SHCC82A,660.353449,large_intestine
SHCC83A,515.656528,large_intestine
SHCC84A,374.009228,large_intestine
SHCC85B,465.42529,large_intestine
SHCC86A,750.620756,large_intestine
SHCC87A,408.317736,large_intestine
SHCC88B,485.898383,large_intestine
SHCC89A,447.755416,large_intestine
SHCC8A,504.397218,large_intestine
SHCC90A,473.833032,large_intestine
SHCC91A,436.035406,large_intestine
SHCC92A,486.059343,large_intestine
SHCC93A,422.238916,large_intestine
SHCC94A,386.074616,large_intestine
SHCC95A,473.93192,large_intestine
SHCC96A,321.016973,large_intestine
SHCC97A,346.837219,large_intestine
SHCC98A,477.430656,large_intestine
SHCC99A,528.899198,large_intestine
SHCC9A,755.305185,large_intestine
SHDC104A,1.450777,small_intestine
SHDC107A,1.906154,small_intestine
SHDC111A,9.368323,small_intestine
SHDC11C,21.858068,small_intestine
SHDC12A,3.297322,small_intestine
SHDC139A,1.120795,small_intestine
SHDC141A,0.723492,small_intestine
SHDC14A,8.931919,small_intestine
SHDC154A,0.80452,small_intestine
SHDC157A,1.844385,small_intestine
SHDC170A,1.63327,small_intestine
SHDC174A,0.687868,small_intestine
SHDC178A,0.647193,small_intestine
SHDC191A,0.595466,small_intestine
SHDC203A,0.907928,small_intestine
SHDC207A,1.169074,small_intestine
SHDC212A,2.02354,small_intestine
SHDC213A,1.596854,small_intestine
SHDC214A,1.806751,small_intestine
SHDC239A,1.217901,small_intestine
SHDC23A,4.444766,small_intestine
SHDC245A,1.039518,small_intestine
SHDC247A,0.808583,small_intestine
SHDC249A,0.046323,small_intestine
SHDC260A,0.14773,small_intestine
SHDC262A,0.351456,small_intestine
SHDC285A,1.219745,small_intestine
SHDC288A,0.631549,small_intestine
SHDC294A,1.351926,small_intestine
SHDC298A,0.179614,small_intestine
SHDC301A,0.711669,small_intestine
SHDC302A,0.686564,small_intestine
SHDC34A,1.648017,small_intestine
SHDC39A,0.490182,small_intestine
SHDC46A,1.31147,small_intestine
SHDC47A,0.627751,small_intestine
SHDC58A,0,small_intestine
SHDC61A,1.174163,small_intestine
SHDC68A,0.314925,small_intestine
SHDC78A,0.739559,small_intestine
SHDC93A,0.793596,small_intestine
SHIC104A,66.573551,small_intestine
SHIC107A,56.782342,small_intestine
SHIC111A,287.519518,small_intestine
