Sample,high_risk_ARG_abundance,gut_locations
SHCC78A,274.652951,large_intestine
SHCC79A,213.098797,large_intestine
SHCC7A,305.032686,large_intestine
SHCC80A,229.731789,large_intestine
SHCC81A,312.71042,large_intestine
SHCC82A,388.033679,large_intestine
SHCC83A,298.172073,large_intestine
SHCC84A,187.643472,large_intestine
SHCC85B,240.268516,large_intestine
SHCC86A,419.412959,large_intestine
SHCC87A,231.60429000000002,large_intestine
SHCC88B,276.471202,large_intestine
SHCC89A,226.426028,large_intestine
SHCC8A,313.756951,large_intestine
SHCC90A,242.915995,large_intestine
SHCC91A,254.27476000000001,large_intestine
SHCC92A,259.449683,large_intestine
SHCC93A,238.508185,large_intestine
SHCC94A,198.808631,large_intestine
SHCC95A,245.07117300000002,large_intestine
SHCC96A,193.362376,large_intestine
SHCC97A,193.978147,large_intestine
SHCC98A,277.93566,large_intestine
SHCC99A,296.195023,large_intestine
SHCC9A,401.704317,large_intestine
SHDC104A,0.43006300000000003,small_intestine
SHDC107A,1.0129299999999999,small_intestine
SHDC111A,1.996353,small_intestine
SHDC11C,7.4773060000000005,small_intestine
SHDC12A,3.020555,small_intestine
SHDC139A,0.813394,small_intestine
SHDC141A,0.723492,small_intestine
SHDC14A,4.342799,small_intestine
SHDC154A,0.7084090000000001,small_intestine
SHDC157A,1.302743,small_intestine
SHDC170A,0.94185700000000006,small_intestine
SHDC174A,0.599317,small_intestine
SHDC178A,0.146188,small_intestine
SHDC191A,0.462347,small_intestine
SHDC203A,0.414556,small_intestine
SHDC207A,0.698763,small_intestine
SHDC212A,0.39147,small_intestine
SHDC213A,1.596854,small_intestine
SHDC214A,1.001846,small_intestine
SHDC239A,1.029523,small_intestine
SHDC23A,1.99162,small_intestine
SHDC245A,0.749582,small_intestine
SHDC247A,0.44842899999999997,small_intestine
SHDC249A,0,small_intestine
SHDC260A,0,small_intestine
SHDC262A,0,small_intestine
SHDC285A,0.359721,small_intestine
SHDC288A,0,small_intestine
SHDC294A,1.075463,small_intestine
SHDC298A,0.161707,small_intestine
SHDC301A,0.642131,small_intestine
SHDC302A,0.659655,small_intestine
